id	representative	originalTarget	finalTarget	currentEvidenceState	required_output	completionAction	synonyms	other_queries	source
P148	piano chord chart	/chords	/chords	reported_limited	默认有图表；根音/类型选择、试听、打印及读图说明。	unified_lookup_all_supported_families	"[""keyboard chord sheet"", ""keyboard chord chart"", ""music chord charts piano"", ""chord chart piano"", ""all chords on a piano"", ""keyboard chords"", ""piano chord cheat sheet"", ""piano chord diagram"", ""all chords piano"", ""chord cheat sheet piano"", ""chord sheet piano"", ""chords piano chart"", ""piano chords cheat sheet"", ""chord sheets for piano"", ""keyboard chords chart"", ""piano chord charts"", ""piano chords sheet"", ""piano chords table"", ""all chords on piano"", ""full piano chord chart"", ""keyboard chords piano"", ""piano chords"", ""piano chords chart pdf""]"	"[""easy piano chord chart"", ""piano chord chart for beginners"", ""printable piano chord chart"", ""piano chord chart pdf"", ""piano chord sheet printable"", ""piano chords pdf"", ""free piano chord chart"", ""free piano chord chart printable pdf"", ""how many piano chords are there"", ""pdf piano chords chart"", ""piano chord chart for beginners pdf"", ""piano chord chart with finger position pdf"", ""piano chords chart"", ""piano chords for beginners pdf"", ""what are all the chords on piano?"", ""what are the 12 chords for piano?""]"	piano_keyword_research_combined.xlsx｜关键词数据!A296:G296
P154	minor chords piano	/chords#minor	/chords/minor	split_with_reported_category	minor 选择后显示经过核对的实际和弦结果。	preserve_minor_anchor_and_category	"[""minor chords on the piano"", ""minor piano chords"", ""minor piano chord"", ""piano minor chords""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A330:G330
P158	major chords piano	/chords#major	/chords/major	split_with_reported_category	major 选择后显示经过核对的实际和弦结果。	preserve_major_anchor_and_category	"[""piano major chords"", ""major piano chords"", ""major chords in piano"", ""major chord piano"", ""major piano chord""]"	"[""major chords piano cheat sheet""]"	piano_keyword_research_combined.xlsx｜关键词数据!A352:G352
P168	power chords piano	/chords#power	/chords#power	needs_completion	power chord 的实际结果与使用说明，不能只有标签。	power_result_and_explanation	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A527:G527
P170	piano chord chart 7th	/chords#seventh	/chords/seventh	split_and_partial	明确 7th 涉及的类别和输出；不把它无条件改成 major7。	hub_seventh_examples_plus_category	[]	[]	Google 第2批 图10; Google 第2批 图11
P171	piano chord chart jazz	/chords#jazz	/chords#jazz	needs_completion	jazz 相关和弦的实际示例及说明，不只加一个风格按钮。	jazz_examples_and_progression	[]	[]	Google 第2批 图11
P238	major and minor chords piano	/chords#major-vs-minor	/chords#major-vs-minor	reported_implementation_exists_content_task_needs_evidence	大小和弦对比包含音图/示例和区别，不用类型筛选器代替解释。	retain_and_verify_against_required_output	"[""major and minor chords for piano""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A266:G266
P247	how to read a piano chord chart?	/chords#how-to-read	/chords#how-to-read	reported_implementation_exists_content_task_needs_evidence	如何读键盘图、组成音和标记；深入学习连接指南。	retain_and_verify_against_required_output	[]	"[""how to use the chord chart""]"	Google 第2批 图10
P149	a chord piano	/chords/a-major	/chords/a-major	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	"[""a piano chord"", ""a major chord piano"", ""a major piano chord"", ""a chord on piano"", ""a chords piano""]"	"[""a chord inversions piano pdf""]"	piano_keyword_research_combined.xlsx｜关键词数据!A299:G299
P151	am piano chord	/chords/a-minor	/chords/a-minor	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	"[""am on piano chord"", ""a minor piano chord"", ""a minor chord on piano"", ""a minor chords piano"", ""am chord on piano"", ""am in piano"", ""piano a minor chord"", ""a minor chord for piano"", ""a minor chord piano""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A308:G308
