url,page_type,family,chord_name,observation_status,best_observed_query,best_observed_query_volume,best_query_kd,intent_fit,piano_intent_status,serp_status,product_value,index_decision,query_row_count,positive_query_count,zero_query_count,empty_query_count,user_reported_count,notes
/chords/a-7,detail,Dominant 7,A Dominant Seventh,OBSERVED_100_PLUS,a7 chord,8100,28,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-add9,detail,Add9,A add9,OBSERVED_1_TO_99,aadd9 chord,90,14,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-augmented,detail,Augmented,A Augmented,OBSERVED_100_PLUS,a augmented chord,260,11,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-diminished,detail,Diminished,A Diminished,OBSERVED_100_PLUS,a diminished chord,880,25,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-7,detail,Dominant 7,A♭ Dominant Seventh,OBSERVED_100_PLUS,ab7 chord,320,12,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-add9,detail,Add9,A-flat add9,OBSERVED_1_TO_99,abadd9,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,4,2,1,1,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-augmented,detail,Augmented,A♭ Augmented,OBSERVED_1_TO_99,a flat augmented chord,40,3,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,2,1,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-diminished,detail,Diminished,A♭ Diminished,OBSERVED_100_PLUS,a flat diminished chord,170,4,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-m7,detail,Minor 7,A♭ Minor Seventh,OBSERVED_1_TO_99,abm7 chord,50,4,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,3,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-m7-flat5,detail,Half-diminished 7,A♭ Half-Diminished Seventh,OBSERVED_1_TO_99,abm7b5 chord,20,,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,1,1,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-madd9,detail,Minor Add9,A-flat minor add9,NO_NUMERIC_DATA,,,,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,5,0,0,1,2,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-maj7,detail,Major 7,A♭ Major Seventh,OBSERVED_100_PLUS,abmaj7 chord,140,6,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-sus2,detail,Sus2,A♭ Suspended 2nd,OBSERVED_1_TO_99,absus2,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,4,3,0,1,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-flat-sus4,detail,Sus4,A♭ Suspended 4th,OBSERVED_1_TO_99,absus4,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,4,3,0,1,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-m7,detail,Minor 7,A Minor Seventh,OBSERVED_100_PLUS,am7 chord,3600,29,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-m7-flat5,detail,Half-diminished 7,A Half-Diminished Seventh,OBSERVED_1_TO_99,a half diminished chord,50,2,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,2,2,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-madd9,detail,Minor Add9,A minor add9,OBSERVED_1_TO_99,am(add9) piano,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,4,2,0,1,1,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-maj7,detail,Major 7,A Major Seventh,OBSERVED_100_PLUS,amaj7 chord,480,14,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-sus2,detail,Sus2,A Suspended 2nd,OBSERVED_100_PLUS,asus2 chord,720,19,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,2,2,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/a-sus4,detail,Sus4,A Suspended 4th,OBSERVED_100_PLUS,asus4 chord,590,15,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,2,2,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-7,detail,Dominant 7,B Dominant Seventh,OBSERVED_100_PLUS,b7 chord,9900,27,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,2,2,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-add9,detail,Add9,B add9,OBSERVED_1_TO_99,b add9 chord,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,3,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-augmented,detail,Augmented,B Augmented,OBSERVED_100_PLUS,b augmented chord,210,14,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-diminished,detail,Diminished,B Diminished,OBSERVED_100_PLUS,b diminished chord,1900,6,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,2,2,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-7,detail,Dominant 7,B♭ Dominant Seventh,OBSERVED_100_PLUS,bb7 chord,590,19,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-add9,detail,Add9,B-flat add9,OBSERVED_1_TO_99,bbadd9 chord,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,2,0,1,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-augmented,detail,Augmented,B♭ Augmented,OBSERVED_1_TO_99,b flat augmented chord,90,9,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,3,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-diminished,detail,Diminished,B♭ Diminished,OBSERVED_100_PLUS,b flat diminished chord,480,7,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-m7,detail,Minor 7,B♭ Minor Seventh,OBSERVED_100_PLUS,bbm7 chord,140,6,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-m7-flat5,detail,Half-diminished 7,B♭ Half-Diminished Seventh,OBSERVED_1_TO_99,b flat half diminished chord,20,,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,4,3,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-madd9,detail,Minor Add9,B-flat minor add9,NO_NUMERIC_DATA,,,,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,5,0,0,1,2,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-maj7,detail,Major 7,B♭ Major Seventh,OBSERVED_100_PLUS,bbmaj7 chord,170,10,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-major,detail,Major,B-flat Major,OBSERVED_100_PLUS,b flat major chord,1900,24,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-minor,detail,Minor,B-flat Minor,OBSERVED_100_PLUS,b flat minor chord,1000,17,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-sus2,detail,Sus2,B♭ Suspended 2nd,OBSERVED_1_TO_99,b flat sus2 chord,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,3,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-flat-sus4,detail,Sus4,B♭ Suspended 4th,OBSERVED_1_TO_99,bbsus4 chord,20,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,3,2,0,1,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-m7,detail,Minor 7,B Minor Seventh,OBSERVED_100_PLUS,bm7 chord,2400,16,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-m7-flat5,detail,Half-diminished 7,B Half-Diminished Seventh,OBSERVED_100_PLUS,b half diminished chord,110,6,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,2,2,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-madd9,detail,Minor Add9,B minor add9,OBSERVED_1_TO_99,bmadd9,30,,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,5,2,1,1,1,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-maj7,detail,Major 7,B Major Seventh,OBSERVED_100_PLUS,bmaj7 chord,210,10,UNCHECKED,SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,1,1,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
/chords/b-minor,detail,Minor,B Minor,OBSERVED_100_PLUS,b minor chord,18100,28,UNCHECKED,EXPLICIT_PIANO_QUERY_POSITIVE_SERP_UNCHECKED,UNCHECKED,NEEDS_REVIEW,NO_AUTOMATIC_CHANGE,2,2,0,0,0,Volume is max observed single-query estimate. Aliases are not summed. Intent is not VERIFIED_SEO.
