id,date_added,date_submitted,date_verified,platform,category,source_url,target_url,anchor,rel,status,competitor_source,next_action,notes
BL-001,2026-09-18,unknown,2026-09-18,Product Hunt,launch,https://www.producthunt.com/products/pianogrid,https://pianogrid.com,PianoGrid,unknown,LIVE,muted.io PH listing,抽空打开页面核对 follow 属性和是否已公开上线,用户原记录为已创建并安排发布；2026-09-18 HEAD 200。WebFetch 被 Cloudflare 挡住，正文未复核。
BL-002,2026-09-18,,2026-09-18,Hacker News,community,https://news.ycombinator.com,https://pianogrid.com,,unknown,PAUSED,,平台暂时限制；不硬发 Show HN,等限制解除后再写真实 Show HN，先参与讨论再贴产品。
BL-003,2026-09-11,2026-09-11,2026-09-18,DEV Community,community,https://dev.to/weiwei_yang_1ee5c1a479747/building-pianogrid-a-simple-browser-based-piano-reference-3odn,https://pianogrid.com,https://pianogrid.com,unknown,LIVE,,正文里继续回复真实问题，不新开灌水帖,2026-09-11 发布。页面 200，正文含 pianogrid.com。
BL-004,2026-09-18,unknown,2026-09-18,Medium,community,https://medium.com/@weiwei.yang.9977/building-pianogrid-a-simple-browser-based-piano-reference-e40d74e1787d,https://pianogrid.com,https://pianogrid.com,ugc,LIVE,,正文里继续回复真实问题，不新开灌水帖,Weiwei Yang / Sep 2026。标题 Building PianoGrid: a simple browser-based piano reference。正文有 https://pianogrid.com 链接，rel=noopener ugc nofollow。curl 仍 403，浏览器已打开核实。
BL-005,2026-09-10,2026-09-10,2026-09-18,GitHub 项目仓库,github,https://github.com/viviyang/piano-grid,https://pianogrid.com,pianogrid.com,unknown,LIVE,,保持 README 与 homepage 字段同步,homepage 已设为 https://pianogrid.com。README 含在线访问链接。
BL-006,2026-09-18,unknown,2026-09-21,GitHub 个人资料 README,github,https://github.com/viviyang/viviyang,https://pianogrid.com,PianoGrid,unknown,LIVE,,保持 Profile README 与 Website 字段同步,Profile README 已有 PianoGrid。2026-09-21 用户把 GitHub Settings → Public profile → URL 设为 https://pianogrid.com。API blog 字段已核实。
BL-007,2026-09-18,unknown,2026-09-21,Indie Hackers,community,https://www.indiehackers.com/product/pianogrid,https://pianogrid.com,Visit Website,unknown,LIVE,,有人评论再真实回复，不新开灌水帖,2026-09-21 用户补全产品资料并发布一条 update。未填 revenue。
BL-008,2026-09-18,,,Hashnode,community,,,unknown,PAUSED,,账号显示被封；不另开马甲硬发,用户原记录。hashnode.com/@weiwei 是另一个空账号，不能当成 PianoGrid 外链。
BL-009,2026-09-14,2026-09-14,2026-09-18,Weiwei Blog,owned_site,https://yangweiwei.dev/en/about,https://pianogrid.com/,PianoGrid,unknown,LIVE,,保持 About 项目列表，不把 MomentWording 当 PianoGrid 外链,/about 308 到 /en/about。正文含 PianoGrid 描述和链接。
BL-010,2026-09-14,2026-09-14,2026-09-18,AI Research Reviews,owned_site,https://www.airesearchreviews.com/about,https://pianogrid.com/,PianoGrid,unknown,LIVE,,代码与 200 状态已核实；抽空浏览器打开确认可见链接,源码 about 页有 Visit PianoGrid。裸域 /about 308 到 www。
BL-011,2026-09-14,2026-09-14,2026-09-14,MomentWording,owned_site,https://www.momentwording.com,https://pianogrid.com,,unknown,REMOVED,,不再作为外链,2026-09-14 添加后同日移除。主题关联弱。
BL-012,2026-09-18,2026-09-18,2026-09-20,muted.io,resource_list,https://muted.io/music-tools/,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,muted.io,不重提；继续等 Seb，查 hello@ 是否有回复,2026-09-20 复核 https://muted.io/music-tools/ 仍无 PianoGrid。回执页 https://muted.io/thank-you。
BL-013,2026-09-18,2026-09-18,2026-09-21,Uneed,directory,https://www.uneed.best/submit-a-tool,https://pianogrid.com,PianoGrid,unknown,SKIP,,不做付费插队。改用 AlternativeTo,2026-09-21 已把未发布的 momentwording 草稿改成 PianoGrid（slug pianogrid-com，URL https://pianogrid.com）。Schedule 弹窗写 This product already had its free launch，免费排队不可用。未买 $14.99 / $29.99。
BL-014,2026-09-18,2026-09-21,2026-09-21,AlternativeTo,directory,https://alternativeto.net/software/musicca/,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,musicca.com,过几天核 alternativeto.net/software/pianogrid 以及 Musicca、muted.io 的 alternatives 列表,2026-09-21 用户确认已提交。Cloudflare 挡住未登录抓取，公开页待核。muted.io 产品页 https://alternativeto.net/software/muted-io/about/。
