url,current_title,current_h1,candidate_title,candidate_h1,query_evidence,intent_fit,content_capability_check,change_reason,approved
/chords/seventh,"Seventh Piano Chords: 7, Maj7, Min7 & Half-Diminished | PianoGrid",Seventh Piano Chords,"7th Chords on Piano: Types, Notes & Sound | PianoGrid",7th Chords on Piano,7th chords = 1900 (R2 screenshot). This is not evidence that the full candidate Title string has volume 1900.,UNCHECKED,"Family page can show four seventh types, notes, diagrams, sound via detail links. Candidate is editorial only.",REVIEW: align family wording with the observed 7th chords query. Current H1 is already clear; do not auto-apply.,false
/chords/diminished,,Diminished Chords,,,Family keyword verified in prior 2026-09-17 editorial round; not re-opened here.,UNCHECKED,Family browse plus detail or embedded references already exist.,KEEP: Verified family title already names the chord type and piano notes; no bulk rewrite.,false
/chords/augmented,,Augmented Chords,,,Family keyword verified in prior 2026-09-17 editorial round; not re-opened here.,UNCHECKED,Family browse plus detail or embedded references already exist.,KEEP: Verified family title already names the chord type and piano notes; no bulk rewrite.,false
/chords/suspended,,Suspended Chords,,,Family keyword verified in prior 2026-09-17 editorial round; not re-opened here.,UNCHECKED,Family browse plus detail or embedded references already exist.,KEEP: Verified family title already names the chord type and piano notes; no bulk rewrite.,false
/chords/add,,Add9 Chords,,,Family keyword verified in prior 2026-09-17 editorial round; not re-opened here.,UNCHECKED,Family browse plus detail or embedded references already exist.,KEEP: Verified family title already names the chord type and piano notes; no bulk rewrite.,false
/chords/extended,,Extended Chords,,,Family keyword verified in prior 2026-09-17 editorial round; not re-opened here.,UNCHECKED,Family browse plus detail or embedded references already exist.,KEEP: Verified family title already names the chord type and piano notes; no bulk rewrite.,false
/chords/altered,,Altered Dominant Chords,,,Family keyword verified in prior 2026-09-17 editorial round; not re-opened here.,UNCHECKED,Family browse plus detail or embedded references already exist.,KEEP: Verified family title already names the chord type and piano notes; no bulk rewrite.,false
/chords/c-add9,,,,,cadd9 4400 / cadd9 chord 2400 / cadd9 piano 590. SCREENSHOT_GAP closed. intent_fit remains UNCHECKED.,UNCHECKED,"Detail page first screen has chord name, notes, keyboard, sound and two voicing examples.",KEEP: no Title/H1 rewrite; volume is not US SERP proof.,false
/chords/b-diminished,,,,,b diminished chord 1900 / bdim piano 110. SCREENSHOT_GAP closed. intent_fit remains UNCHECKED.,UNCHECKED,"Detail page first screen has chord name, notes, keyboard, sound and inversions.",KEEP: no Title/H1 rewrite; volume is not US SERP proof.,false
/chords/a-flat-major,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
/chords/a-major,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
/chords/a-minor,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
/chords/b-major,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
/chords/c-flat-major,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
/chords/c-major,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
/chords/c-minor,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
/chords/e-major,,,,,Not in the 138 evidence pack. Original-plan mapping may exist separately and was not overwritten.,UNCHECKED,Published detail route.,KEEP: no bulk Title/H1 rewrite in this round.,false
