url,page_type,family,subtype,root,display_name,current_title,current_h1,current_description,sitemap,indexable,canonical,original_plan_url,original_keyword,original_volume_us,keyword_source,current_target_keyword,current_volume_us,volume_status,generated_after_original_plan,visible_entry,entry_path,click_depth,recommendation,notes
/chords,hub,hub,,,Piano Chord Chart,"Piano Chord Chart: Notes, Diagrams & Sound | PianoGrid",Piano Chord Chart,"Find piano chords by name, root or type. See their notes and keyboard positions, hear examples, and open detailed chord and inversion guides.",true,"index,follow",https://pianogrid.com/chords,/chords,piano chord chart,6600,ORIGINAL_URL_PLAN,piano chord chart,6600,ORIGINAL_PLAN,false,true,Header Chords → Browse all chords → /chords,1,KEEP_SEO,
/chords/major,family,major,,,Major Piano Chords,"Major Piano Chords: Notes, Formulas & Keyboard Diagrams",Major Piano Chords,"Browse major piano chords by root. See chord notes, formulas, keyboard diagrams and links to detailed inversion pages.",true,"index,follow",https://pianogrid.com/chords/major,/chords,major chords piano,,ORIGINAL_HUB_TASK_KEYWORD,major piano chords,,UNKNOWN,true,true,/chords → Major Piano Chords,1,KEEP_SEO,Family URL is later than the 127-URL plan; keyword string inherited from hub other_task_keywords with no recorded volume.
/chords/minor,family,minor,,,Minor Piano Chords,"Minor Piano Chords: Notes, Formulas & Keyboard Diagrams",Minor Piano Chords,"Browse minor piano chords by root. See chord notes, formulas, keyboard diagrams and links to detailed inversion pages.",true,"index,follow",https://pianogrid.com/chords/minor,/chords,minor chords piano,,ORIGINAL_HUB_TASK_KEYWORD,minor piano chords,,UNKNOWN,true,true,/chords → Minor Piano Chords,1,KEEP_SEO,Family URL is later than the 127-URL plan; keyword string inherited from hub other_task_keywords with no recorded volume.
/chords/diminished,family,diminished,,,Diminished Chords,"Diminished Chords: Piano Notes, Formula & Inversions | PianoGrid",Diminished Chords,"Browse diminished piano triads by root. See notes, the 1–♭3–♭5 formula, keyboard diagrams and detailed inversion pages.",true,"index,follow",https://pianogrid.com/chords/diminished,,,,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,Diminished Chords,1600,VERIFIED,true,true,/chords → Diminished Chords,1,KEEP_SEO,"Family primary keyword verified 2026-09-17 Semrush US Desktop; Piano is context, not a replacement for the exact phrase."
/chords/augmented,family,augmented,,,Augmented Chords,"Augmented Chords: Piano Notes, Formula & Inversions | PianoGrid",Augmented Chords,"Browse augmented piano triads by root. See notes, the 1–3–♯5 formula, keyboard diagrams and detailed inversion pages.",true,"index,follow",https://pianogrid.com/chords/augmented,,,,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,Augmented Chords,1000,VERIFIED,true,true,/chords → Augmented Chords,1,KEEP_SEO,"Family primary keyword verified 2026-09-17 Semrush US Desktop; Piano is context, not a replacement for the exact phrase."
/chords/suspended,family,suspended,,,Suspended Chords,Suspended Chords: Sus2 & Sus4 Piano Notes & Inversions | PianoGrid,Suspended Chords,"Browse sus2 and sus4 piano chords by root. Compare 1–2–5 with 1–4–5, see keyboard diagrams and detailed inversion pages.",true,"index,follow",https://pianogrid.com/chords/suspended,,,,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,Suspended Chords,1600,VERIFIED,true,true,/chords → Suspended Chords,1,KEEP_SEO,"Family primary keyword verified 2026-09-17 Semrush US Desktop; Piano is context, not a replacement for the exact phrase."
/chords/seventh,family,seventh,,,Seventh Piano Chords,"Seventh Piano Chords: 7, Maj7, Min7 & Half-Diminished",Seventh Piano Chords,"Browse dominant 7th, major 7th, minor 7th and half-diminished piano chords by root. Compare four-note formulas, keyboard diagrams and inversions.",true,"index,follow",https://pianogrid.com/chords/seventh,,,,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,seventh piano chords,,NO_DATA,true,true,/chords → Seventh Piano Chords,1,REVIEW_KEYWORD,"NEEDS_KEYWORD_REVIEW. D7 chord piano is a detail query, not the family query."
/chords/add,family,add9,,,Add9 Chords,Add9 Chords: Major & Minor Piano Notes & Voicings | PianoGrid,Add9 Chords,"Browse 24 major and minor add9 piano chords. Compare notes and two keyboard layouts, practise chord tones, and open printable reference pages.",true,"index,follow",https://pianogrid.com/chords/add,,,,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,Add9 Chords,390,VERIFIED,true,true,/chords → Add9 Chords,1,KEEP_SEO,"Family primary keyword verified 2026-09-17 Semrush US Desktop; Piano is context, not a replacement for the exact phrase."
/chords/extended,family,extended,,,Extended Chords,"Extended Chords: 9th, 11th & 13th Piano Chords | PianoGrid",Extended Chords,"Explore ninth, eleventh and thirteenth piano chords. Compare full formulas with explicit voicing examples, hear the notes and practise a selected layout.",true,"index,follow",https://pianogrid.com/chords/extended,,,,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,Extended Chords,390,VERIFIED,true,true,/chords → Extended Chords,1,KEEP_SEO,"Family primary keyword verified 2026-09-17 Semrush US Desktop; Piano is context, not a replacement for the exact phrase. Family page hosts embedded references; no extra per-chord detail URLs."
/chords/altered,family,altered,,,Altered Dominant Chords,"Altered Dominant Chords: Piano Notes, Formulas & Voicings | PianoGrid",Altered Dominant Chords,"Compare explicit altered dominant chords on piano. Read changed degrees, hear written-note voicings, check omissions and practise a selected example.",true,"index,follow",https://pianogrid.com/chords/altered,,,,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,Altered Dominant Chords,210,VERIFIED,true,true,/chords → Altered Dominant Chords,1,KEEP_SEO,"Family primary keyword verified 2026-09-17 Semrush US Desktop; Piano is context, not a replacement for the exact phrase. Family page hosts embedded references; no extra per-chord detail URLs."
