url	kind	batch	inOriginal127	originalId	originalKeyword	originalVolumeUS	implemented	deployed	indexed	evidence	action
/chord-progressions	support	original15	True	U087	piano chord progressions	1600	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords	support	original15	True	U075	piano chord chart	6600	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-add9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-augmented	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-diminished	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-add9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-augmented	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-diminished	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-m7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-m7-flat5	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-madd9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-maj7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-major	detail	original15	True	U079	a flat chord piano	1000	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-sus2	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-flat-sus4	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-m7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-m7-flat5	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-madd9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-maj7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-major	detail	original15	True	U076	a chord piano	4400	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-minor	detail	original15	True	U078	am piano chord	1900	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-sus2	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/a-sus4	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/add	category	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/augmented	category	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-add9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-augmented	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-diminished	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-add9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-augmented	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-diminished	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-m7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-m7-flat5	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-madd9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-maj7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-major	detail	N1	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-minor	detail	N1	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-sus2	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-flat-sus4	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-m7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-m7-flat5	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-madd9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-maj7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-major	detail	original15	True	U077	b chord piano	3600	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-minor	detail	N1	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-sus2	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/b-sus4	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/by-key	support	original15	True	U085	chords of key	1900	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-add9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-augmented	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-diminished	detail	N2B	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-flat-major	detail	original15	True	U083	cb piano chord	260	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-m7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-m7-flat5	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-madd9	detail	N2D_v2	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-maj7	detail	N2C	False				reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
/chords/c-major	detail	original15	True	U081	c chords piano	480	reported_implemented	not_independently_verified	unknown	delivery manifest + user RESULT through N2D_v2; not local-repo inspection	preserve_URL_and_correct_content
