id	from	href	anchor	relation	placement	target_registered_in_b3_snapshot	published_now	activation
L001	/chords	/chords/g-major	G Major Piano Chord (G)	catalogue_detail	matching hub card	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L002	/chords/g-major	/chords	Browse the piano chord chart	parent	breadcrumb and related	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L003	/chords/g-major	/chords/c-major	Compare G with C major	harmonic_context	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L004	/chords/g-major	/chords	Find G minor in the chord chart	parallel_quality	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L005	/chords/g-major	/scales/c-major	See the C major scale	scale_context	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L006	/chords/g-major	/guide/piano-chords	Learn how chord symbols and bass notes work	learning	after theory	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L007	/chords/g-major	/keyboard-notes/finger-numbers	Read left- and right-hand finger numbers	finger_legend	root fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L008	/chords/g-major	/chords/g-major#practice	Try the note-building exercise	practice	after direct answer	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L009	/chords	/chords/c-minor	C Minor Piano Chord (Cm)	catalogue_detail	matching hub card	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L010	/chords/c-minor	/chords	Browse the piano chord chart	parent	breadcrumb and related	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L011	/chords/c-minor	/chords/c-major	Compare C minor with C major	parallel_quality	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L012	/chords/c-minor	/chords/a-flat-major	Compare shared tones with A-flat major	shared_tones	specific comparison or connection paragraph	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L013	/chords/c-minor	/guide/piano-chords	Learn how chord symbols and bass notes work	learning	after theory	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L014	/chords/c-minor	/keyboard-notes/finger-numbers	Read left- and right-hand finger numbers	finger_legend	root fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L015	/chords/c-minor	/chords/c-minor#practice	Try the note-building exercise	practice	after direct answer	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L016	/chords	/chords/e-major	E Major Piano Chord (E)	catalogue_detail	matching hub card	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L017	/chords/e-major	/chords	Browse the piano chord chart	parent	breadcrumb and related	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L018	/chords/e-major	/chords/a-major	See E in relation to A major	harmonic_context	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L019	/chords/e-major	/chords/a-minor	Compare an E-to-Am connection	harmonic_context	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L020	/chords/e-major	/chords/b-major	Compare E with B major	harmonic_context	specific comparison or connection paragraph	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L021	/chords/e-major	/chords	Find E minor in the chart	parallel_quality	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L022	/chords/e-major	/guide/piano-chords	Learn how chord symbols and bass notes work	learning	after theory	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L023	/chords/e-major	/keyboard-notes/finger-numbers	Read left- and right-hand finger numbers	finger_legend	root fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L024	/chords/e-major	/chords/e-major#practice	Try the note-building exercise	practice	after direct answer	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L025	/chords	/chords/b-major	B Major Piano Chord (B)	catalogue_detail	matching hub card	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L026	/chords/b-major	/chords	Browse the piano chord chart	parent	breadcrumb and related	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L027	/chords/b-major	/chords/e-major	Use B in an E-major context	harmonic_context	specific comparison or connection paragraph	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L028	/chords/b-major	/chords/c-flat-major	Compare B and C-flat spellings	enharmonic	specific comparison or connection paragraph	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L029	/chords/b-major	/chords	Find B minor in the chart	parallel_quality	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
