batch,url,query,screenshot_state,volume,kd,source,note
A_GAPS_AND_PIANO,/chords/c-add9,cadd9,VISIBLE_NUMERIC,4400,26,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/c-add9,cadd9 chord,VISIBLE_NUMERIC,2400,25,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/c-add9,cadd9 piano,VISIBLE_NUMERIC,590,11,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/b-diminished,b diminished chord,VISIBLE_NUMERIC,1900,6,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/b-diminished,bdim piano,VISIBLE_NUMERIC,110,9,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/b-minor,b minor chord piano,VISIBLE_NUMERIC,4400,20,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/d-minor,d minor chord piano,VISIBLE_NUMERIC,4400,12,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/b-7,b7 piano,VISIBLE_NUMERIC,590,31,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/c-7,c7 piano,VISIBLE_NUMERIC,720,11,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/c-maj7,cmaj7 piano,VISIBLE_NUMERIC,1300,18,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/c-m7,cm7 piano,VISIBLE_NUMERIC,590,19,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/c-diminished,c diminished chord piano,VISIBLE_NUMERIC,480,13,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/c-augmented,c augmented chord piano,VISIBLE_NUMERIC,70,6,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/a-sus2,asus2 piano,VISIBLE_NUMERIC,320,22,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/a-sus4,asus4 piano,VISIBLE_NUMERIC,260,15,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/f-add9,fadd9 piano,VISIBLE_NUMERIC,110,6,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
A_GAPS_AND_PIANO,/chords/seventh,7th chords piano,VISIBLE_NUMERIC,390,24,84b938e9-649a-4ad3-91b1-cb2c43d8cb25.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-add9,dbadd9,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-add9,dbadd9 piano,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/f-sharp-add9,f#add9,VISIBLE_NUMERIC,0,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/f-sharp-add9,f#add9 piano,VISIBLE_NUMERIC,40,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/a-flat-add9,abadd9,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/a-flat-add9,abadd9 piano,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/c-madd9,cmadd9,VISIBLE_NUMERIC,30,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/c-madd9,cm(add9) piano,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-madd9,dbmadd9,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-madd9,dbm(add9) piano,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/e-flat-madd9,ebmadd9,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/e-flat-madd9,ebm(add9) piano,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/f-sharp-madd9,f#madd9,VISIBLE_NUMERIC,0,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/f-sharp-madd9,f#m(add9) piano,VISIBLE_NUMERIC,0,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/a-flat-madd9,abmadd9,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/a-flat-madd9,abm(add9) piano,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/b-flat-madd9,bbmadd9,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/b-flat-madd9,bbm(add9) piano,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/b-madd9,bmadd9,VISIBLE_NUMERIC,30,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/b-madd9,bm(add9) piano,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-m7-flat5,dbm7b5 piano,VISIBLE_NUMERIC,0,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-m7-flat5,d flat minor 7 flat 5 chord,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-sus2,dbsus2,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-sus2,dbsus2 piano,VISIBLE_BLANK,,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-sus4,dbsus4,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/d-flat-sus4,dbsus4 piano,VISIBLE_NUMERIC,20,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/f-sharp-sus2,f#sus2,VISIBLE_NUMERIC,10,,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
B_ZERO_OR_MISSING,/chords/f-sharp-sus2,f#sus2 piano,NOT_VISIBLE,,,,未显示的行不填0；不阻塞现有记录回填，也不要求再次提交关键词
