url,chord_id,family,formal_name,symbol,current_title,current_h1,current_description,current_intro,metadata_source,h1_source,upstream_protected,generic_query,generic_volume,piano_query,piano_volume,query_source,query_date,related_piano_queries,intent_fit,issue_type,suggested_title,suggested_h1,suggested_description,suggested_intro,breadcrumb_current,family_card_current,current_theory,current_fingering_reason,suggested_keyboard_h2,suggested_formula_h2,suggested_inversions_h2,suggested_practice_h2,suggested_faq_q,suggested_faq_a,suggested_keyboard_help,suggested_fingering,reason,execution_state,applied,article_case_bug,engineering_fingering_copy,in_seed_72,pdf_exists,sound,fingering_verified
/chords/a-7,a-7,dominant7,A Dominant Seventh,A7,"A7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid",A7 Chord,"Learn the A7 chord on piano: A, C♯, E and G. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.","A7, also called A dominant seventh, contains A, C♯, E and G. Use the piano diagram to find the notes, hear the chord and explore its inversions.",local production HTML + chord-detail-seo-copy.ts,local production HTML h1,false,a7 chord,8100,,,c45756ea-7b7c-4586-a97c-6d2dc1340942.png,2026-09-17,,UNCHECKED,SAME_ENTITY_LABEL_ALIGNMENT|COPY_ARTICLE_CASE|COPY_ENGINEERING_FINGERING,"A7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid",A7 Chord,"Learn the A7 chord on piano: A, C♯, E and G. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.","A7, also called A dominant seventh, contains A, C♯, E and G. Use the piano diagram to find the notes, hear the chord and explore its inversions.",A7 Chord,A7 Chord,A a dominant seventh is a major triad plus a minor seventh.,No independently authorized fingering dataset is provided for N2C.,,,,,,,,"Fingerings are not included on this page. The diagram shows note positions, not a prescribed hand shape.",Same chordId/symbol. Short label A7 Chord applied locally via CHORD_DETAIL_SEO_COPY and editorial mapping. Music name/notes/URL unchanged. Not committed or published. Seed proposed_display_label=A7 Chord.,APPLIED_LOCAL,true,true,true,true,true,true,false
/chords/a-add9,a-add9,add9,A add9,Aadd9,"Aadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid",Aadd9 Piano Chord,"Find Aadd9 notes (A, C♯, E, B), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.","Aadd9 contains A, C♯, E, B. Use 1–3–5–9 and do not add a seventh.",local production HTML,local production HTML h1,false,aadd9 chord,90,,,9647961e-4ab8-4675-bb14-e10b51c8982c.png,2026-09-17,,UNCHECKED,ALREADY_CLEAR,,,,,A add9,A add9,"Use A, C♯, E, B. The formula is 1–3–5–9. Keep the C♯ third: removing it changes the note collection to a suspended shape. The list above names the chord members. For a specific register, read the octave numbers on the selected example below. Start with A3 – C♯4 – E4 – B4. Then switch to A3 – B3 – C♯4 – E4. The B moves down one octave while the other three notes stay in place. Both examples keep A as the lowest note. This comparison changes spacing, not the bass. It is a pair of reference examples, not a complete inversion catalogue. Here, the higher layout is labelled Aadd9; the inside-the-triad layout is shown with the Aadd2 notation hint. This follows the textbook illustration, not a claim that every player uses the labels identically. Musicca also lists add2 as an alternative add9 label. For an exact arrangement, use the written pitches or score. For a note-identification exercise, separate the chord members from their octaves. This page's complete added-note examples include the third and no seventh. A ninth-chord formula includes a seventh; a sus2 collection omits the third. Compare the note lists, not just the number 9 in a symbol. Read A, C♯, E, B as four chord members. The B is the added member; it is not a finger number or a new key signature. Octave numbers such as C4 locate a register. They are separate from scale degrees and finger numbers. First choose the four note names in Aadd9, in any octave. Next select Match this example and reproduce the specific notes displayed. Correct chord tones in different octaves should receive a spacing hint, not a message that the chord itself is wrong. These browser exercises check your selection on this page, not a performance on an acoustic piano. Fingerings are not supplied; the diagrams are not a prescribed one-hand stretch. The reference brings together the formula, both keyboard layouts and their octave labels. Use it beside your keyboard when comparing the two examples.",,,,,,,,,,Current short or natural name is already clear; not a mechanical Piano-word rewrite.,NO_TDH_CHANGE,false,false,false,false,true,true,false
/chords/a-augmented,a-augmented,augmented,A Augmented,Aaug,A Augmented Piano Chord (Aaug): Notes & Inversions | PianoGrid,A Augmented Piano Chord,"Find the A augmented chord on piano: A, C♯, E♯. See three keyboard positions, sound and a printable reference.","The A Augmented chord contains A, C♯, E♯. Formula: 1–3–♯5.",local production HTML,local production HTML h1,false,a augmented chord,260,,,a60b623a-fe4d-4ce9-b831-ad52fbc1aa2e.png,2026-09-17,,UNCHECKED,ALREADY_CLEAR,,,,,A Augmented,A Augmented,"The a augmented triad uses a root, major third and augmented fifth.",No independent fingering dataset is authorized for N2B.,,,,,,,,,Current short or natural name is already clear; not a mechanical Piano-word rewrite.,NO_TDH_CHANGE,false,false,false,false,true,true,false
/chords/a-diminished,a-diminished,diminished,A Diminished,Adim,A Diminished Piano Chord (Adim): Notes & Inversions | PianoGrid,A Diminished Piano Chord,"Find the A diminished chord on piano: A, C, E♭. See three keyboard positions, sound and a printable reference.","The A Diminished chord contains A, C, E♭. Formula: 1–♭3–♭5.",local production HTML,local production HTML h1,false,a diminished chord,880,,,0d26efa8-bf8c-4209-bd71-cad9933ce78c.png,2026-09-17,,UNCHECKED,ALREADY_CLEAR,,,,,A Diminished,A Diminished,"The a diminished triad uses a root, minor third and diminished fifth.",No independent fingering dataset is authorized for N2B.,,,,,,,,,Current short or natural name is already clear; not a mechanical Piano-word rewrite.,NO_TDH_CHANGE,false,false,false,false,true,true,false
/chords/a-flat-7,a-flat-7,dominant7,A♭ Dominant Seventh,A♭7,"A♭7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid",A♭7 Chord,"Learn the A♭7 chord on piano: A♭, C, E♭ and G♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.","A♭7, also called A♭ dominant seventh, contains A♭, C, E♭ and G♭. Use the piano diagram to find the notes, hear the chord and explore its inversions.",local production HTML + chord-detail-seo-copy.ts,local production HTML h1,false,ab7 chord,320,,,b52715f1-e57e-416e-be83-077fcec17be6.png,2026-09-17,,UNCHECKED,SAME_ENTITY_LABEL_ALIGNMENT|COPY_ENGINEERING_FINGERING,"A♭7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid",A♭7 Chord,"Learn the A♭7 chord on piano: A♭, C, E♭ and G♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.","A♭7, also called A♭ dominant seventh, contains A♭, C, E♭ and G♭. Use the piano diagram to find the notes, hear the chord and explore its inversions.",A♭7 Chord,A♭7 Chord,A a♭ dominant seventh is a major triad plus a minor seventh.,No independently authorized fingering dataset is provided for N2C.,,,,,,,,"Fingerings are not included on this page. The diagram shows note positions, not a prescribed hand shape.",Same chordId/symbol. Short label A♭7 Chord applied locally via CHORD_DETAIL_SEO_COPY and editorial mapping. Music name/notes/URL unchanged. Not committed or published. Seed proposed_display_label=A♭7 Chord.,APPLIED_LOCAL,true,false,true,true,true,true,false
/chords/a-flat-add9,a-flat-add9,add9,A-flat add9,A♭add9,"A♭add9 Piano Chord: Notes, Voicings & Practice | PianoGrid",A♭add9 Piano Chord,"Find A♭add9 notes (A♭, C, E♭, B♭), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.","A♭add9 contains A♭, C, E♭, B♭. Use 1–3–5–9 and do not add a seventh.",local production HTML,local production HTML h1,false,abadd9,20,abadd9 piano,20,c558ba69-a4e7-4194-9d7a-dbaf06ecc1e8.png,2026-09-18,,UNCHECKED,ALREADY_CLEAR,,,,,A-flat add9,A-flat add9,"Use A♭, C, E♭, B♭. The formula is 1–3–5–9. Keep the C third: removing it changes the note collection to a suspended shape. The list above names the chord members. For a specific register, read the octave numbers on the selected example below. Start with A♭3 – C4 – E♭4 – B♭4. Then switch to A♭3 – B♭3 – C4 – E♭4. The B♭ moves down one octave while the other three notes stay in place. Both examples keep A♭ as the lowest note. This comparison changes spacing, not the bass. It is a pair of reference examples, not a complete inversion catalogue. Here, the higher layout is labelled A♭add9; the inside-the-triad layout is shown with the A♭add2 notation hint. This follows the textbook illustration, not a claim that every player uses the labels identically. Musicca also lists add2 as an alternative add9 label. For an exact arrangement, use the written pitches or score. For a note-identification exercise, separate the chord members from their octaves. This page's complete added-note examples include the third and no seventh. A ninth-chord formula includes a seventh; a sus2 collection omits the third. Compare the note lists, not just the number 9 in a symbol. Read A♭, C, E♭, B♭ as four chord members. The B♭ is the added member; it is not a finger number or a new key signature. Octave numbers such as C4 locate a register. They are separate from scale degrees and finger numbers. First choose the four note names in A♭add9, in any octave. Next select Match this example and reproduce the specific notes displayed. Correct chord tones in different octaves should receive a spacing hint, not a message that the chord itself is wrong. These browser exercises check your selection on this page, not a performance on an acoustic piano. Fingerings are not supplied; the diagrams are not a prescribed one-hand stretch. The reference brings together the formula, both keyboard layouts and their octave labels. Use it beside your keyboard when comparing the two examples.",,,,,,,,,,Current short or natural name is already clear; not a mechanical Piano-word rewrite.,NO_TDH_CHANGE,false,false,false,false,true,true,false
/chords/a-flat-augmented,a-flat-augmented,augmented,A♭ Augmented,A♭aug,A♭ Augmented Piano Chord (A♭aug): Notes & Inversions | PianoGrid,A♭ Augmented Piano Chord,"Find the a♭ augmented chord on piano: A♭, C, E. See three keyboard positions, sound and a printable reference.","The A♭ Augmented chord contains A♭, C, E. Formula: 1–3–♯5.",local production HTML,local production HTML h1,false,a flat augmented chord,40,abaug piano,20,9647961e-4ab8-4675-bb14-e10b51c8982c.png,2026-09-17,,UNCHECKED,ALREADY_CLEAR,,,,,A♭ Augmented,A♭ Augmented,"The a♭ augmented triad uses a root, major third and augmented fifth.",No independent fingering dataset is authorized for N2B.,,,,,,,,,Current short or natural name is already clear; not a mechanical Piano-word rewrite.,NO_TDH_CHANGE,false,false,false,false,true,true,false
/chords/a-flat-diminished,a-flat-diminished,diminished,A♭ Diminished,A♭dim,A♭ Diminished Piano Chord (A♭dim): Notes & Inversions,A♭ Diminished Piano Chord,"Find the a♭ diminished chord on piano: A♭, C♭, E𝄫. See three keyboard positions, sound and a printable reference.","The A♭ Diminished chord contains A♭, C♭, E𝄫. Formula: 1–♭3–♭5.",local production HTML,local production HTML h1,false,a flat diminished chord,170,,,a60b623a-fe4d-4ce9-b831-ad52fbc1aa2e.png,2026-09-17,,UNCHECKED,ALREADY_CLEAR,,,,,A♭ Diminished,A♭ Diminished,"The a♭ diminished triad uses a root, minor third and diminished fifth.",No independent fingering dataset is authorized for N2B.,,,,,,,,,Current short or natural name is already clear; not a mechanical Piano-word rewrite.,NO_TDH_CHANGE,false,false,false,false,true,true,false
/chords/a-flat-m7,a-flat-m7,minor7,A♭ Minor Seventh,A♭m7,"A♭m7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid",A♭m7 Chord,"Learn the A♭m7 chord on piano: A♭, C♭, E♭ and G♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.","A♭m7, also called A♭ minor seventh, contains A♭, C♭, E♭ and G♭. Use the piano diagram to find the notes, hear the chord and explore its inversions.",local production HTML + chord-detail-seo-copy.ts,local production HTML h1,false,abm7 chord,50,abm7 piano,20,6799485e-be24-41c3-98ca-f6ca2f2975a6.png,2026-09-17,,UNCHECKED,SAME_ENTITY_LABEL_ALIGNMENT|COPY_ENGINEERING_FINGERING,"A♭m7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid",A♭m7 Chord,"Learn the A♭m7 chord on piano: A♭, C♭, E♭ and G♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.","A♭m7, also called A♭ minor seventh, contains A♭, C♭, E♭ and G♭. Use the piano diagram to find the notes, hear the chord and explore its inversions.",A♭m7 Chord,A♭m7 Chord,A a♭ minor seventh is a minor triad plus a minor seventh.,No independently authorized fingering dataset is provided for N2C.,,,,,,,,"Fingerings are not included on this page. The diagram shows note positions, not a prescribed hand shape.",Same chordId/symbol. Short label A♭m7 Chord applied locally via CHORD_DETAIL_SEO_COPY and editorial mapping. Music name/notes/URL unchanged. Not committed or published. Seed proposed_display_label=A♭m7 Chord.,APPLIED_LOCAL,true,false,true,true,true,true,false
/chords/a-flat-m7-flat5,a-flat-m7-flat5,halfDiminished7,A♭ Half-Diminished Seventh,A♭m7♭5,"A♭ Half-Diminished Chord (A♭m7♭5): Piano Notes, Inversions, Sound & PDF",A♭ Half-Diminished Chord (A♭m7♭5),"Learn the A♭ Half-Diminished Chord (A♭m7♭5) on piano: A♭, C♭, E𝄫 and G♭. See keyboard diagrams, explore inversions and hear the chord.","A♭ Half-Diminished Chord (A♭m7♭5) contains A♭, C♭, E𝄫 and G♭. The compact symbol A♭m7♭5 names the same chord. Use the piano diagram to find the notes, hear the chord and explore its inversions.",local production HTML + chord-detail-seo-copy.ts,local production HTML h1,false,abm7b5 chord,20,,,6799485e-be24-41c3-98ca-f6ca2f2975a6.png,2026-09-17,,UNCHECKED,SAME_ENTITY_LABEL_ALIGNMENT|COPY_ENGINEERING_FINGERING,"A♭ Half-Diminished Chord (A♭m7♭5): Piano Notes, Inversions, Sound & PDF",A♭ Half-Diminished Chord (A♭m7♭5),"Learn the A♭ Half-Diminished Chord (A♭m7♭5) on piano: A♭, C♭, E𝄫 and G♭. See keyboard diagrams, explore inversions and hear the chord.","A♭ Half-Diminished Chord (A♭m7♭5) contains A♭, C♭, E𝄫 and G♭. The compact symbol A♭m7♭5 names the same chord. Use the piano diagram to find the notes, hear the chord and explore its inversions.",A♭ Half-Diminished Chord (A♭m7♭5),A♭ Half-Diminished Chord (A♭m7♭5),A a♭ half-diminished seventh is a diminished triad plus a minor seventh.,No independently authorized fingering dataset is provided for N2C.,,,,,,,,"Fingerings are not included on this page. The diagram shows note positions, not a prescribed hand shape.",Same chordId/symbol. Short label A♭ Half-Diminished Chord (A♭m7♭5) applied locally via CHORD_DETAIL_SEO_COPY and editorial mapping. Music name/notes/URL unchanged. Not committed or published. Seed proposed_display_label=A♭ Half-Diminished Chord (A♭m7♭5).,APPLIED_LOCAL,true,false,true,true,true,true,false
