url,page_type,family,name,root_spelling,pitch_class,in_138_cohort,original_url_mapping,origin_group,source_basis,observation_status,best_query,best_volume,piano_query,piano_volume,intent_fit,index_action
/chords/a-7,Detail,Dominant 7,A Dominant Seventh,A,9,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,a7 chord,8100,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-add9,Detail,Add9,A add9,A,9,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,aadd9 chord,90,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-augmented,Detail,Augmented,A Augmented,A,9,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,a augmented chord,260,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-diminished,Detail,Diminished,A Diminished,A,9,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,a diminished chord,880,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-7,Detail,Dominant 7,A♭ Dominant Seventh,Ab,8,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,ab7 chord,320,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-add9,Detail,Add9,A-flat add9,Ab,8,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,abadd9,20,abadd9 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-augmented,Detail,Augmented,A♭ Augmented,Ab,8,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,a flat augmented chord,40,abaug piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-diminished,Detail,Diminished,A♭ Diminished,Ab,8,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,a flat diminished chord,170,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-m7,Detail,Minor 7,A♭ Minor Seventh,Ab,8,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,abm7 chord,50,abm7 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-m7-flat5,Detail,Half-diminished 7,A♭ Half-Diminished Seventh,Ab,8,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,abm7b5 chord,20,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-madd9,Detail,Minor Add9,A-flat minor add9,Ab,8,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,NO_NUMERIC_DATA,,,,,UNCHECKED,NO_CHANGE_APPROVED
